wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cI                                                                                                          rFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,VirtuallyUnrolledInputExplicitOutPaddingConvolution,VirtuallyUnrolledInputExplicitPaddingConvolution
512,3,3,512,4,4,1,1,4631.5,38.0643,52.23,35.62,34.3333,blas_bug,61.5444,46.0182,45.9273,70.725,44.4917,61.9556,64.6625,37.9786,60.2111,46.3909
32,3,3,3,8,8,1,1,7.46418,0.278862,0.281486,0.279955,0.278707,blas_bug,0.288466,0.293717,0.285502,1.43524,0.166556,0.172414,0.212357,0.278862,0.305437,0.337973
64,3,3,3,8,8,1,1,14.8529,0.446696,0.453811,0.447317,0.440917,blas_bug,0.453993,0.45505,0.447717,2.864,0.276243,0.316319,0.356125,0.485063,0.542625,0.610989
128,3,3,3,8,8,1,1,29.7118,0.772685,0.790047,0.773994,0.774303,blas_bug,0.796815,0.789274,0.78125,5.4989,0.497512,0.256199,0.291832,0.915356,1.0227,1.1588
256,3,3,3,8,8,1,1,59.4778,0.511554,0.516839,0.509786,0.505865,blas_bug,0.524423,0.521481,0.51408,12.7975,0.32601,0.45349,0.506174,1.77972,2.01205,2.28539
512,3,3,3,8,8,1,1,118.94,0.902162,0.920994,0.921731,0.89375,blas_bug,0.928015,0.897312,0.909455,27.1316,0.598445,0.856336,0.929128,3.51119,3.97619,4.53063
32,3,3,32,8,8,1,1,72.8143,0.627729,0.621891,0.621118,0.59952,blas_bug,1.70578,1.80863,1.67659,1.80072,0.869271,0.717504,1.19381,1.23911,1.5139,1.43937
64,3,3,32,8,8,1,1,147.325,1.07823,1.11403,1.05953,1.06285,blas_bug,2.22756,2.16164,2.1625,3.62971,1.15369,1.14943,1.57642,2.30138,2.85455,2.71739
128,3,3,32,8,8,1,1,291.05,2.03659,2.05615,2.05041,1.94981,blas_bug,3.19809,3.06098,3.07853,7.41618,1.75,2,2.41836,4.44071,2.03415,2.1084
256,3,3,32,8,8,1,1,589.3,3.95984,4.03871,3.93858,3.75,blas_bug,5.12857,5.23646,4.84135,16.2258,3.0259,3.94961,4.26949,3.53592,3.76917,4.10164
512,3,3,32,8,8,1,1,1180.2,8.0873,8.49492,8.34167,7.64545,blas_bug,9.58491,9.47736,8.87368,33.82,6.03976,7.84375,8.3541,7.05352,7.65455,7.67273
