wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,PartiallyUnrolledInputExplicitOutPaddingConvolution,PartiallyUnrolledInputExplicitPaddingConvolution
64,3,3,3,256,256,2,2,152.85,100,n/a,1640.5,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,3,256,256,2,2,308.85,199.467,n/a,7831.3,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,3,256,256,2,2,611.5,396.1,n/a,20693.8,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,3,256,256,2,2,1216.2,787.4,n/a,43325,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,32,256,256,2,2,607.8,670.6,n/a,2597.7,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,256,256,2,2,1218.4,1301.1,n/a,5228.5,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,256,256,2,2,2421.9,2569,n/a,20352.6,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,32,256,256,2,2,4856,5109.9,n/a,43346.9,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,32,256,256,2,2,9736.5,10189.4,n/a,89476.4,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,64,256,256,2,2,1267.2,1334.2,n/a,5141,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,64,256,256,2,2,2527,2612.3,n/a,10325.5,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,64,256,256,2,2,5068.3,5190.4,n/a,31372.3,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,64,256,256,2,2,10130.6,10350.6,n/a,64160.5,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,64,256,256,2,2,20341.6,20671.7,n/a,125715,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,128,256,256,2,2,2577.8,2687.7,n/a,10318.3,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,128,256,256,2,2,5148.1,5305.9,n/a,21229.1,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,128,256,256,2,2,10297.7,10497.2,n/a,52632.4,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,128,256,256,2,2,20642.8,20896.4,n/a,104260,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,128,256,256,2,2,41211.3,41637,n/a,208757,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,256,256,256,2,2,5239.7,5375.7,n/a,20831.9,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,256,256,256,2,2,10477.6,10599.7,n/a,42119.6,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,256,256,256,2,2,20887.9,21017.1,n/a,94993.1,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,256,256,256,2,2,41688.3,41921.8,n/a,190242,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,256,256,256,2,2,83726.5,83895.2,n/a,378395,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,512,256,256,2,2,10535.9,10814.9,n/a,42029.1,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,512,256,256,2,2,21011.8,21267.7,n/a,85218.4,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,512,256,256,2,2,41924.9,42137.5,n/a,178754,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,512,256,256,2,2,84033,84364.8,n/a,356826,n/a,n/a,n/a,n/a,n/a,n/a
