wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,PartiallyUnrolledInputImplicitInPaddingConv,PartiallyUnrolledInputExplicitOutPaddingConv,PartiallyUnrolledInputExplicitPaddingConv
32,3,3,64,32,32,1,1,19.7019,0.82278,1.06663,0.829602,1.04323,0.927315,1.05591,0.94032,1.08932,1.09041,0.987673,0.823723,0.978963,2.006,2.46675,1.79018
64,3,3,64,32,32,1,1,40.1538,0.89375,1.06383,0.898115,1.06263,0.991584,1.06436,1.0015,1.09409,1.99008,1.01265,0.910455,1.0251,2.4901,1.9871,2.0778
128,3,3,64,32,32,1,1,79.8571,1.05095,1.20602,1.03035,1.20482,1.07634,1.20084,1.15323,1.12867,2.9157,1.16725,1.12164,1.20773,2.35849,2.20705,2.12766
256,3,3,64,32,32,1,1,157.875,1.62948,1.38017,1.5625,1.38712,1.60144,1.36817,1.55435,1.3781,4.79048,1.7327,1.60064,1.79946,3.72222,3.34667,3.44007
512,3,3,64,32,32,1,1,317.375,2.19298,1.89962,2.29358,1.74913,2.04918,1.74825,2.10504,1.79946,9.09091,2.275,2.13085,2.25336,4.51351,4.18125,4.54773
32,3,3,128,32,32,1,1,40.1346,1.05421,1.53846,1.05263,1.4693,1.28535,1.69492,1.32626,1.60737,1.08859,1.4881,1.23886,1.51976,2.36321,1.96275,1.95703
64,3,3,128,32,32,1,1,81.6071,1.26134,1.60256,1.31645,1.60417,1.59554,1.86847,1.58889,1.82182,2.14914,1.77837,1.55031,1.84191,2.58892,2.33837,2.22222
128,3,3,128,32,32,1,1,161,1.78381,1.73529,1.86754,1.82091,2.04388,1.97727,2.01815,1.93629,3.31414,2.09833,2.02733,2.10714,3.28105,2.38333,2.42961
256,3,3,128,32,32,1,1,321.5,2.98214,2.15517,2.75137,2.12076,2.87787,2.41908,2.875,2.39234,5.23438,3.04545,3.40136,3.355,4.65509,4.16875,4.23941
512,3,3,128,32,32,1,1,646,3.79545,3.22115,3.73507,3.22276,3.91992,3.36577,4.006,3.51748,10.175,3.85577,3.97638,4.22899,5.71875,5.08838,5.4086
32,3,3,256,32,32,1,1,81.3929,1.84191,2.06276,1.95313,2.15733,2.31944,2.68449,2.48144,2.67914,1.23457,2.85511,2.40865,2.82022,3.77068,2.22778,2.17391
