wCount, wRows, wCols, wChls, yRows, yCols, vStride, hStride, ForLoopConvolution, UnrolledInputConvolution, UnrolledInputChlMajInputConvolution, UnrolledOutputConvolution, UnrolledInputImplicitInPaddingConvolution, UnrolledInputExplicitOutPaddingConvolution, UnrolledInputExplicitPaddingConvolution, PartiallyUnrolledInputImplicitInPaddingConvolution, PartiallyUnrolledInputExplicitOutPaddingConvolution, PartiallyUnrolledInputExplicitPaddingConvolution
64, 3, 3, 32, 8, 8, 1, 1, 147.325, 0.80305, 1.9145, 3.62971, 1.15369, 1.14943, 1.57642, 2.30138, 2.85455, 2.71739
128, 3, 3, 32, 8, 8, 1, 1, 291.05, 1.39665, 2.53535, 7.41618, 1.75, 2, 2.41836, 4.44071, 2.03415, 2.1084
256, 3, 3, 32, 8, 8, 1, 1, 589.3, 2.72826, 3.80227, 16.2258, 3.0259, 3.94961, 4.26949, 3.53592, 3.76917, 4.10164
512, 3, 3, 32, 8, 8, 1, 1, 1180.2, 5.77586, 6.79189, 33.82, 6.03976, 7.84375, 8.3541, 7.05352, 7.65455, 7.67273
32, 3, 3, 64, 8, 8, 1, 1, 144.625, 0.847627, 3.34467, 2.23705, 1.75965, 1.38287, 2.38619, 2.31106, 2.86286, 2.63263
64, 3, 3, 64, 8, 8, 1, 1, 289.1, 1.43707, 3.96378, 4.49911, 2.37441, 2.23214, 3.25974, 4.30513, 1.9543, 1.89094
128, 3, 3, 64, 8, 8, 1, 1, 578.3, 2.71793, 5.22083, 9.63208, 3.57429, 4.17167, 4.97426, 3.39122, 3.63116, 3.7609
256, 3, 3, 64, 8, 8, 1, 1, 1157.7, 5.4129, 8.0871, 20.0577, 6.35063, 7.94921, 8.69828, 6.89726, 7.17286, 7.17143
512, 3, 3, 64, 8, 8, 1, 1, 2316.9, 10.937, 13.7459, 41.7385, 11.8744, 15.2848, 16.5484, 12.5075, 14.5857, 13.9568
32, 3, 3, 128, 8, 8, 1, 1, 291.9, 1.64393, 6.716, 3.23032, 3.53916, 2.96982, 4.9802, 4.45752, 2.004, 1.80578
64, 3, 3, 128, 8, 8, 1, 1, 576.5, 3.0241, 7.875, 6.78378, 4.76667, 4.92549, 6.64474, 3.348, 3.57143, 3.41973
128, 3, 3, 128, 8, 8, 1, 1, 1154.4, 5.58222, 10.126, 13.9972, 7.27826, 8.52712, 10.3796, 6.4, 7.39265, 6.67333
256, 3, 3, 128, 8, 8, 1, 1, 2309.6, 10.8085, 15.3758, 27.9778, 13.2263, 15.3182, 17.7448, 12.5268, 14.0222, 13.4447
512, 3, 3, 128, 8, 8, 1, 1, 4618.4, 21.4125, 26.9263, 57.3778, 23.6818, 29.7882, 31.7375, 25.07, 28.3778, 25.875
32, 3, 3, 256, 8, 8, 1, 1, 575.9, 3.20897, 13.3447, 5.43587, 7.13239, 6.43333, 9.94314, 3.61367, 3.72519, 3.5035
64, 3, 3, 256, 8, 8, 1, 1, 1153.9, 5.61111, 15.8375, 11.1467, 9.57736, 9.83725, 13.4316, 6.48333, 7.37971, 6.49481
128, 3, 3, 256, 8, 8, 1, 1, 2308.8, 10.6851, 20.975, 22.1087, 14.3657, 16.78, 20.016, 12.6275, 14.4229, 12.8718
256, 3, 3, 256, 8, 8, 1, 1, 4615.7, 20.9667, 30.9706, 45.65, 24.3429, 30.2412, 34.26, 25.515, 28.0722, 25.195
512, 3, 3, 256, 8, 8, 1, 1, 9235.4, 42.1417, 52.55, 89.9333, 45.4, 59.6111, 65.5375, 48.7091, 56.6556, 50.6
32, 3, 3, 512, 8, 8, 1, 1, 1156.5, 6.295, 26.3158, 9.95686, 14.2472, 12.361, 19.9846, 6.90959, 7.64091, 6.63684
64, 3, 3, 512, 8, 8, 1, 1, 2314.4, 11.3727, 31.4176, 18.8741, 19.0259, 19.137, 26.5579, 12.8949, 14.3429, 12.505
128, 3, 3, 512, 8, 8, 1, 1, 4628.6, 20.532, 40.9308, 37.6786, 28.65, 32.8, 40.6615, 25.495, 28.2444, 25.34
256, 3, 3, 512, 8, 8, 1, 1, 9259, 42.3083, 60.9, 76.8286, 48.6091, 61.3111, 68.85, 49.2364, 56.4222, 51.2
512, 3, 3, 512, 8, 8, 1, 1, 18521.3, 81.9429, 100.58, 157.025, 90.7667, 116.38, 123.12, 97.0333, 113.54, 103.3
32, 3, 3, 3, 16, 16, 1, 1, 29.8353, 0.852811, 0.692659, 3.88062, 0.634898, 0.568523, 0.712963, 1.00582, 0.99246, 1.13122
64, 3, 3, 3, 16, 16, 1, 1, 59.4111, 0.735294, 0.532801, 8.87719, 0.461347, 0.392852, 0.539374, 1.88943, 1.82847, 2.11224
128, 3, 3, 3, 16, 16, 1, 1, 118.86, 0.951141, 0.796497, 19.4259, 0.708499, 0.69986, 0.863276, 3.59643, 3.54296, 4.10738
256, 3, 3, 3, 16, 16, 1, 1, 237.9, 1.47988, 1.25175, 39.7308, 1.20773, 1.32032, 1.50841, 7.14085, 7.04648, 8.18226
512, 3, 3, 3, 16, 16, 1, 1, 475.8, 2.69355, 2.43107, 80.0714, 2.35991, 2.9716, 3.03576, 6.724, 5.12222, 8.28852
32, 3, 3, 32, 16, 16, 1, 1, 291.35, 1.92923, 4.29316, 5.29474, 3.43014, 2.05533, 3.87154, 4.79429, 1.79355, 1.90456
64, 3, 3, 32, 16, 16, 1, 1, 582.3, 3.30066, 5.35319, 11.7, 4.51532, 3.56525, 5.16939, 3.28562, 3.12938, 3.53169
128, 3, 3, 32, 16, 16, 1, 1, 1164.4, 5.65843, 7.99365, 24.2571, 7.10141, 6.53766, 8.06032, 6.11707, 6.04167, 6.69067
256, 3, 3, 32, 16, 16, 1, 1, 2328.8, 10.9435, 13.0436, 46.4727, 12.6375, 12.3463, 13.6649, 12.0214, 11.7605, 13.1974
512, 3, 3, 32, 16, 16, 1, 1, 4662.7, 21.0833, 23.0696, 96.1667, 22.4739, 24.0524, 25.025, 23.6773, 24.5905, 26.8
32, 3, 3, 64, 16, 16, 1, 1, 578.5, 3.58786, 8.59322, 7.02361, 7.1, 4.54636, 7.86406, 3.26993, 3.08889, 3.32252
64, 3, 3, 64, 16, 16, 1, 1, 1156.6, 6.11951, 10.8978, 14.62, 9.77885, 7.12535, 10.9326, 5.63933, 6.14512, 6.04643
128, 3, 3, 64, 16, 16, 1, 1, 2313.2, 11.1133, 16.15, 29.2056, 14.54, 12.93, 16.0125, 11.1689, 11.3636, 12.0071
256, 3, 3, 64, 16, 16, 1, 1, 4631.3, 20.9375, 25.66, 59.7556, 24.0455, 23.4773, 27.0158, 21.6083, 23.7636, 23.3409
512, 3, 3, 64, 16, 16, 1, 1, 9265.1, 38.9231, 43.7667, 111.24, 43.6917, 46.4818, 49.6455, 43.1667, 47.2455, 47.9273
