wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,PartiallyUnrolledInputExplicitOutPaddingConvolution,PartiallyUnrolledInputExplicitPaddingConvolution
64,3,3,512,8,8,1,1,21.4917,0.361678,0.610936,0.405515,0.515996,0.748132,0.674124,0.301628,0.203169,0.194895
128,3,3,512,8,8,1,1,43.225,0.451671,0.765145,0.7387,0.688583,1.02041,0.731287,0.443744,0.304629,0.282702
256,3,3,512,8,8,1,1,86.2667,0.596067,0.664675,1.37582,0.633291,0.894991,0.875524,0.628141,0.544287,0.501303
512,3,3,512,8,8,1,1,173.333,0.89964,1.54031,2.77072,1.35351,1.8292,1.5559,1.24478,1.22875,1.17835
32,3,3,3,16,16,1,1,0.291492,0.0188523,0.0244021,0.310752,0.0176361,0.0206603,0.0204932,0.0196757,0.0200016,0.0213547
64,3,3,3,16,16,1,1,0.582421,0.0207702,0.0247868,0.574943,0.0177614,0.0259929,0.023681,0.0379795,0.0393484,0.0410813
128,3,3,3,16,16,1,1,1.16419,0.0352734,0.025108,1.12081,0.0197239,0.0310443,0.0280631,0.0731529,0.0791264,0.0797957
256,3,3,3,16,16,1,1,2.33785,0.0382321,0.031236,2.16667,0.0254647,0.0408497,0.0387417,0.291099,0.263766,0.301143
512,3,3,3,16,16,1,1,4.67664,0.0567859,0.061314,4.09106,0.0454587,0.0647417,0.0575109,0.494466,0.445592,0.535546
32,3,3,32,16,16,1,1,2.509,0.105708,0.137779,0.319349,0.116713,0.118793,0.118147,0.127356,0.0804246,0.0934405
64,3,3,32,16,16,1,1,4.99505,0.153735,0.142369,0.567234,0.119875,0.138226,0.137024,0.140449,0.0937734,0.108648
128,3,3,32,16,16,1,1,10.006,0.188008,0.163559,1.13348,0.141084,0.158428,0.151729,0.305125,0.245076,0.260146
256,3,3,32,16,16,1,1,19.9846,0.280538,0.183016,2.16797,0.171527,0.216826,0.202963,0.359669,0.303398,0.328731
512,3,3,32,16,16,1,1,40.1308,0.32678,0.385582,4.22521,0.338753,0.412624,0.384692,0.529979,0.416126,0.486602
32,3,3,64,16,16,1,1,5.22604,0.149507,0.229253,0.364239,0.220361,0.231267,0.215282,0.144425,0.0849185,0.0933184
64,3,3,64,16,16,1,1,10.4604,0.164745,0.237916,0.602046,0.233489,0.261748,0.248262,0.183688,0.115687,0.124162
128,3,3,64,16,16,1,1,20.9167,0.292456,0.305998,1.1581,0.275786,0.297089,0.297619,0.372342,0.176293,0.198452
256,3,3,64,16,16,1,1,41.85,0.384025,0.34633,2.11992,0.359454,0.401363,0.388276,0.392392,0.3094,0.3409
512,3,3,64,16,16,1,1,83.6667,0.483946,0.742942,4.05806,0.62956,0.765596,0.721934,0.518012,0.604837,0.681471
32,3,3,128,16,16,1,1,10.6062,0.277833,0.42096,0.436943,0.419899,0.401284,0.445325,0.24407,0.125156,0.12639
64,3,3,128,16,16,1,1,21.2833,0.320692,0.459229,0.609878,0.481058,0.454768,0.463822,0.296619,0.163132,0.166945
128,3,3,128,16,16,1,1,42.6167,0.466418,0.556285,1.1719,0.573196,0.567877,0.618936,0.49107,0.261422,0.275537
256,3,3,128,16,16,1,1,85.3,0.655105,0.769846,2.20705,0.733138,0.776708,0.75803,0.66885,0.396355,0.448118
512,3,3,128,16,16,1,1,169.8,0.874476,1.46745,4.43274,1.23936,1.42507,1.35135,1.04644,1.00281,1.07425
32,3,3,256,16,16,1,1,21.6417,0.553429,0.727035,0.551876,0.791456,0.742942,0.801282,0.391621,0.152393,0.155958
64,3,3,256,16,16,1,1,42.9833,0.59964,0.810535,0.706629,0.872775,0.852129,0.91184,0.523222,0.239684,0.240317
128,3,3,256,16,16,1,1,85.95,0.794444,0.969186,1.3368,0.972957,0.981765,1.0778,0.812175,0.448029,0.440917
256,3,3,256,16,16,1,1,172.5,1.17671,1.26633,2.59534,1.2987,1.32434,1.37769,1.16488,0.788644,0.815661
512,3,3,256,16,16,1,1,343.95,1.5024,2.84489,5.18144,2.33349,2.72283,2.71622,2.27591,1.50813,1.63967
