wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,VirtuallyUnrolledInputExplicitOutPaddingConvolution,VirtuallyUnrolledInputExplicitPaddingConvolution
128,3,3,512,128,128,1,1,10455.8,190.167,269,94.5167,300.8,224.167,278.1,175.2,127.3,127.95
256,3,3,512,128,128,1,1,20915,257.4,341.4,185.967,375.15,295,348.85,244.067,201.267,202.7
512,3,3,512,128,128,1,1,41843.5,398.7,471.6,369.3,523.3,443.75,499.25,393.65,348.7,351.85
32,3,3,3,256,256,1,1,70.45,4.10656,4.31207,22.8045,4.475,3.56525,3.93701,9.57358,9.00536,9.12182
64,3,3,3,256,256,1,1,141.75,7.14286,7.87969,46.8818,7.72154,6.712,7.03333,27.3895,26.9579,26.8
128,3,3,3,256,256,1,1,284.05,11.0957,12.7275,96.0167,12.6175,11.0217,11.4227,34.4067,32.3687,33.7
256,3,3,3,256,256,1,1,567.1,18.0429,19.55,194.5,19.6962,18.2179,18.6333,86.5833,80.2571,86.1167
512,3,3,3,256,256,1,1,1133.4,33.1563,34.3733,394.15,34.0467,33.8,34.2067,174.667,165.2,176.433
32,3,3,32,256,256,1,1,607.2,53.84,59.3444,24.3619,69.3875,47.3455,60.7556,31.9875,21.9826,21.8739
64,3,3,32,256,256,1,1,1216.3,57.3778,62.8,48.8273,72.8714,50.12,63.8375,52.22,41.0692,41.7833
128,3,3,32,256,256,1,1,2424.5,66.475,73.8,99.2,83.0857,60.0444,73.2,81.2429,68.0125,70.4875
256,3,3,32,256,256,1,1,4852,84.4333,93.2833,202.4,103.48,78.7571,91.8167,123.14,106.64,112.66
512,3,3,32,256,256,1,1,9724.2,125.075,135.975,408.35,145.575,118.84,133.3,221.733,201.5,211.333
32,3,3,64,256,256,1,1,1270.5,87.5667,117.94,28.6444,140.925,95.2667,122.68,68.75,41.9083,41.7667
64,3,3,64,256,256,1,1,2557.3,93.0667,122.48,56.3222,146.425,101.04,128.85,89.3167,65.225,65.4
128,3,3,64,256,256,1,1,5059.5,110.8,143.325,112.8,164.5,118.86,145.2,129.025,102.24,104.32
256,3,3,64,256,256,1,1,10162.5,144.075,180.833,228.067,202.433,155,182.3,180.333,153.375,157.275
512,3,3,64,256,256,1,1,20186.7,219.6,258,461.25,281.4,229.467,256.45,295.8,261.6,273
32,3,3,128,256,256,1,1,2573.5,182.733,230.633,39.0923,280,192.667,247.433,147.35,99.2,102.04
64,3,3,128,256,256,1,1,5131.7,194.5,246.5,75.8714,292.6,202.9,255.05,169.533,120.14,121.56
128,3,3,128,256,256,1,1,10304.3,225.633,280.75,149.65,329.9,237.667,290.95,208.9,159.925,161.8
256,3,3,128,256,256,1,1,20600.3,289.3,355.45,297.75,403.05,305.05,359.05,288.95,241.867,248.167
512,3,3,128,256,256,1,1,41262.3,435.15,510,600.8,556.4,450.7,503,461.55,409.9,424.55
32,3,3,256,256,256,1,1,5224.2,331.65,461.05,58.8111,558.5,382.15,485.4,285.85,191.4,193
64,3,3,256,256,256,1,1,10417.1,356.75,490,111.4,584.1,407.05,512.9,309.2,214.9,215.333
128,3,3,256,256,256,1,1,20837.6,415.25,559.1,218.6,657.8,474.35,580.8,370.1,274.65,276.9
256,3,3,256,256,256,1,1,41675,541.6,707.6,435.4,802.2,609.2,714.3,501.5,410.15,416
512,3,3,256,256,256,1,1,83590.5,826.4,1015.9,866.2,1113,894.5,1004.6,801,693.7,707.5
32,3,3,512,256,256,1,1,10435.7,642.7,946.9,102.48,1135.9,763,974,589,399.3,398.75
64,3,3,512,256,256,1,1,20880.2,690.1,990.6,190.267,1181.7,804.4,1026.8,638,449.2,448.6
128,3,3,512,256,256,1,1,41799,812.6,1123.2,369.5,1309.2,932.2,1148.9,765.9,574.8,583.3
256,3,3,512,256,256,1,1,83720.8,1056.3,1418.8,743.2,1587.2,1203.7,1424.1,1029,836.1,838.7
512,3,3,512,256,256,1,1,167815,1613.8,2007.5,1464.3,2183.3,1775.7,1979.8,1603.8,1408.6,1425.3
32,3,3,3,4,4,2,2,0.0173756,0.00205561,n/a,0.0405482,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,3,4,4,2,2,0.0342724,0.00329509,n/a,0.0809979,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,3,4,4,2,2,0.0687002,0.00589435,n/a,0.222861,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,3,4,4,2,2,0.137363,0.0110561,n/a,0.464624,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,3,4,4,2,2,0.276604,0.0209275,n/a,0.761948,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,32,4,4,2,2,0.14806,0.015702,n/a,0.103306,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,4,4,2,2,0.296736,0.0573658,n/a,0.154083,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,4,4,2,2,0.591135,0.0677874,n/a,0.259305,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,32,4,4,2,2,1.18531,0.0868961,n/a,0.499002,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,32,4,4,2,2,2.36651,0.119962,n/a,0.887943,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,64,4,4,2,2,0.307692,0.0646245,n/a,0.110619,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,64,4,4,2,2,0.615887,0.068975,n/a,0.174034,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,64,4,4,2,2,1.23424,0.0884173,n/a,0.299103,n/a,n/a,n/a,n/a,n/a,n/a
