wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConvolution,UnrolledInputConvolution,UnrolledInputChlMajInputConvolution,UnrolledOutputConvolution,UnrolledInputImplicitInPaddingConvolution,UnrolledInputExplicitOutPaddingConvolution,UnrolledInputExplicitPaddingConvolution,PartiallyUnrolledInputImplicitInPaddingConvolution,PartiallyUnrolledInputExplicitOutPaddingConvolution,PartiallyUnrolledInputExplicitPaddingConvolution
32,3,3,3,4,4,1,1,0.0184373,0.0121969,0.0124319,0.0564844,0.0122166,0.0168799,0.019199,0.0167875,0.0289084,0.0209776
64,3,3,3,4,4,1,1,0.0364113,0.025074,0.0245158,0.115393,0.0232148,0.0317138,0.0318715,0.0282646,0.0506586,0.0399616
128,3,3,3,4,4,1,1,0.0693674,0.0444919,0.0444919,0.217573,0.046117,0.0610277,0.0600312,0.0503981,0.0853242,0.0686153
256,3,3,3,4,4,1,1,0.134735,0.0864753,0.0868961,0.5125,0.086192,0.118259,0.118737,0.0978857,0.176616,0.135026
512,3,3,3,4,4,1,1,0.275289,0.172746,0.171409,1.14839,0.171821,0.235832,0.236166,0.195352,0.329361,0.269978
32,3,3,32,4,4,1,1,0.134553,0.139082,0.142723,0.274383,0.140873,0.198374,0.195275,0.0921829,0.162528,0.127642
64,3,3,32,4,4,1,1,0.26441,0.282008,0.284528,0.54967,0.290081,0.390094,0.381971,0.187796,0.319489,0.258264
128,3,3,32,4,4,1,1,0.537634,0.553821,0.556618,1.153,0.565837,0.760638,0.767178,0.362464,0.628266,0.506073
256,3,3,32,4,4,1,1,1.05696,1.10796,1.13605,2.36509,1.13795,1.57823,1.5483,0.749775,1.28487,1.02352
512,3,3,32,4,4,1,1,2.11055,2.32977,2.30046,4.44336,2.2146,3.17405,3.08642,1.7446,2.87414,2.29541
32,3,3,64,4,4,1,1,0.278707,0.281588,0.292686,0.590555,0.29036,0.402333,0.40056,0.198807,0.344421,0.288575
64,3,3,64,4,4,1,1,0.582751,0.568295,0.574627,1.21529,0.581512,0.806452,0.795866,0.409918,0.686813,0.558147
128,3,3,64,4,4,1,1,1.17647,1.16963,1.14748,2.35634,1.13964,1.57453,1.5776,0.824876,1.42963,1.12332
256,3,3,64,4,4,1,1,2.20705,2.24241,2.3106,4.75283,2.28227,3.11553,3.1425,1.67033,2.89653,2.4478
512,3,3,64,4,4,1,1,4.49643,4.51622,4.54234,9.48113,4.57909,6.34051,6.23951,3.85,6.48205,5.09798
32,3,3,128,4,4,1,1,0.578035,0.591135,0.597255,1.22598,0.579167,0.792247,0.797927,0.431865,0.763969,0.597491
64,3,3,128,4,4,1,1,1.30547,1.17882,1.17653,2.52161,1.2856,1.63127,1.609,0.868576,1.51178,1.21308
128,3,3,128,4,4,1,1,2.25225,2.33163,2.42718,4.91863,2.3507,3.2051,3.25779,1.79143,3.05915,2.40191
256,3,3,128,4,4,1,1,4.61468,4.75849,4.61468,9.75577,4.77048,6.33924,6.25625,3.47103,6.36076,4.90882
512,3,3,128,4,4,1,1,8.94821,9.06429,9.32963,19.5192,9.34259,12.67,13.1658,8.0381,13.3,10.5479
32,3,3,256,4,4,1,1,1.13424,1.13918,1.17765,2.5015,1.18345,1.7034,1.64492,0.89946,1.53558,1.22396
64,3,3,256,4,4,1,1,2.26516,2.34579,2.34439,4.98119,2.30645,3.17215,3.28431,1.8018,3.09506,2.55408
128,3,3,256,4,4,1,1,4.57182,4.52613,4.79429,10.046,4.57818,6.305,6.42564,3.57357,6.22222,4.94412
256,3,3,256,4,4,1,1,9.25926,9.19818,9.57358,19.9308,9.12364,12.9231,12.725,7.72308,13.3579,10.6745
512,3,3,256,4,4,1,1,19.1222,18.4179,18.6148,40.1846,18.3,25.285,25.295,28.9056,50.13,40.3615
32,3,3,512,4,4,1,1,2.28356,2.34486,4.27863,5.10204,4.18083,6.62763,6.68,1.79821,3.23419,2.55357
64,3,3,512,4,4,1,1,4.68411,4.57727,8.79649,10.2327,8.32787,13.4816,13.4605,3.80606,6.37975,4.9604
128,3,3,512,4,4,1,1,9.09273,9.29818,16.9667,20.372,17.1167,26.4368,26.4579,7.88281,13.7459,10.7213
256,3,3,512,4,4,1,1,18.1607,18.1964,33.7933,40.6308,34.04,54.51,52.95,28.5556,50.14,39.6308
512,3,3,512,4,4,1,1,36.35,37.2214,66.35,82.1143,67.5375,110.02,109.98,58.0889,100.5,80.1286
32,3,3,3,8,8,1,1,0.0667379,0.045405,0.0443931,0.133404,0.043592,0.0536942,0.0555617,0.0636699,0.0834168,0.0754034
64,3,3,3,8,8,1,1,0.136836,0.0876117,0.0867905,0.279129,0.0879662,0.106428,0.108552,0.118648,0.155618,0.145012
128,3,3,3,8,8,1,1,0.269305,0.180868,0.171762,0.55354,0.171561,0.20938,0.20951,0.222861,0.298271,0.282655
256,3,3,3,8,8,1,1,0.554153,0.353748,0.343004,1.27551,0.350105,0.445503,0.497416,0.470998,0.705924,0.545256
512,3,3,3,8,8,1,1,1.05633,0.780187,0.702247,3.00659,0.684679,0.858148,0.85051,0.871951,1.18227,1.10642
32,3,3,32,8,8,1,1,0.534722,0.55673,0.592189,0.769385,0.567764,0.689931,0.692659,0.422194,0.558036,0.507614
64,3,3,32,8,8,1,1,1.05591,1.10931,1.12838,1.51178,1.1268,1.39888,1.35637,0.838526,1.13469,1.0144
128,3,3,32,8,8,1,1,2.11181,2.23067,2.25067,3.05122,2.24529,2.70215,2.80615,1.67785,2.2527,2.10252
256,3,3,32,8,8,1,1,4.38087,4.50901,4.51982,6.3075,4.52432,5.4,5.42796,3.34467,4.49018,4.10984
512,3,3,32,8,8,1,1,8.46,9.1,9.04464,12.4683,8.9875,10.8,10.9978,7.79846,10.056,9.14545
32,3,3,64,8,8,1,1,1.10154,1.17647,1.20699,1.62932,1.14201,1.3961,1.4042,0.921915,1.23047,1.12404
64,3,3,64,8,8,1,1,2.26171,2.27195,2.27591,3.2141,2.38333,2.85227,2.80726,1.82,2.43398,2.20969
128,3,3,64,8,8,1,1,4.63241,4.51802,4.53874,6.52078,4.62569,5.55667,5.6,3.70147,5.13571,4.56727
256,3,3,64,8,8,1,1,8.85789,8.99286,9.34074,13.0897,9.53774,11.1156,11.5409,7.65303,10.349,9.28704
512,3,3,64,8,8,1,1,18.5259,18.5593,18.15,26.3211,18.1,22.3217,22.1174,16.7867,23.7409,20.7
32,3,3,128,8,8,1,1,2.24574,2.2724,5.06364,3.42245,4.85825,3.30658,3.28947,1.95781,2.59741,2.37156
64,3,3,128,8,8,1,1,4.6757,4.75283,9.79615,6.77027,9.69038,6.31875,6.44487,4.028,5.31474,4.79333
128,3,3,128,8,8,1,1,8.95179,9.60566,19.0741,13.7216,19.0889,12.8333,12.8205,8.02857,10.6681,9.66154
256,3,3,128,8,8,1,1,17.9179,18.0536,37.6643,27.0842,40.5231,25.83,26.05,15.8938,22.0478,19.8115
512,3,3,128,8,8,1,1,38.7077,36.2857,78.2714,56.2444,78.2,49.3273,51.47,34.8867,46.7727,42.6667
32,3,3,256,8,8,1,1,4.53874,4.78952,10.5521,7.31884,10.6333,11.5318,10.4167,4.06585,6.748,5.08687
64,3,3,256,8,8,1,1,10.7298,10.45,21.625,14.4943,20.9208,16.74,20.808,8.48305,11.0283,9.87843
128,3,3,256,8,8,1,1,18.1429,18.1679,41.2846,28.1056,41.2077,45.7182,40.8154,16.2484,22.4478,20.008
256,3,3,256,8,8,1,1,36.2571,36.2286,85.65,55.9111,84.9333,60.9556,79.7571,35.1,47.4455,43.2833
512,3,3,256,8,8,1,1,72.7,75.0571,172.5,111.9,165.05,137.125,163.675,132.2,184.567,162.725
32,3,3,512,8,8,1,1,9.26296,9.25636,21.7957,14.9235,21.5083,26.16,26.215,8.42,11.1978,10.298
64,3,3,512,8,8,1,1,18.4821,18.9444,42.625,30.8059,42.2833,51.76,53.68,16.7067,22.5565,20.32
128,3,3,512,8,8,1,1,37.6929,36.8714,84.0333,58.1333,84.35,104.36,105.94,37.3,49.0182,44.9583
256,3,3,512,8,8,1,1,75.5714,75.9429,173.9,119.76,170.933,206.367,211.067,136.55,180.3,161.95
512,3,3,512,8,8,1,1,152.2,150.75,349.3,237.6,342.2,418.35,422.45,267.15,361.45,329.8
32,3,3,3,16,16,1,1,0.273279,0.179892,0.178416,0.424343,0.176839,0.197239,0.19802,0.261285,0.301932,0.288184
64,3,3,3,16,16,1,1,0.54182,0.352006,0.352183,0.879262,0.35014,0.398169,0.401445,0.501705,0.589976,0.558147
128,3,3,3,16,16,1,1,1.13281,0.704648,0.704225,1.76514,0.693897,0.785243,0.80418,0.964162,1.11581,1.07446
256,3,3,3,16,16,1,1,2.23616,1.41926,1.45436,3.63116,1.41756,1.5721,1.59776,1.91916,2.19474,2.11181
512,3,3,3,16,16,1,1,4.38174,2.78667,2.76906,15.6781,2.80279,3.31457,3.14654,3.85692,4.55818,4.25593
32,3,3,32,16,16,1,1,2.14678,2.32454,4.65833,2.46176,4.61651,2.57436,2.63579,1.81558,2.09289,2.02218
64,3,3,32,16,16,1,1,4.27607,4.84808,10.164,5.38602,9.78269,6.13049,5.40538,4.0152,4.45575,4.325
128,3,3,32,16,16,1,1,9.24909,9.61509,18.3071,10.5208,17.6,10.9087,10.7021,7.23,8.375,8.01905
256,3,3,32,16,16,1,1,17.269,18.3464,37.3357,22.0957,37.5,20.9,21.3667,14.4257,16.9933,15.9406
512,3,3,32,16,16,1,1,34.4133,35.7714,72.2286,54.11,72.2286,41.8583,41.0385,33.8933,38.6462,37.6357
32,3,3,64,16,16,1,1,4.51441,4.58807,9.36667,5.36277,9.51132,5.41505,5.53736,4.0136,4.54144,4.31897
64,3,3,64,16,16,1,1,9.12,9.32407,18.6741,10.5125,18.6556,10.6125,10.5833,7.76,9.11455,8.82632
128,3,3,64,16,16,1,1,17.8893,18.1679,38.4,21.3167,38.45,20.804,20.9625,15.8938,18.5214,17.7
256,3,3,64,16,16,1,1,36.2429,36.55,80.2,42.9083,77.4571,42.6583,42.7833,32.7125,38.0643,36.5357
512,3,3,64,16,16,1,1,72.1286,72.6714,153.75,97.8667,154.15,83.1,83.2143,72.1286,83.6667,81.3143
32,3,3,128,16,16,1,1,9.47547,9.64615,18.7815,11.0674,18.763,10.6894,10.5375,8.33279,9.93137,9.28889
64,3,3,128,16,16,1,1,18.225,18.637,39.2769,22.8091,38.5692,20.8375,20.9792,16.9933,19.6654,19.1852
128,3,3,128,16,16,1,1,37.5643,36.7357,77.6286,45.0417,76.9857,42.8583,41.675,34.0067,39.4846,38.0214
256,3,3,128,16,16,1,1,74.9571,75.8143,155.275,91.4167,153.55,84.65,83.3714,67.75,80.1,75.8286
512,3,3,128,16,16,1,1,147.5,152.925,307.3,188.2,308.4,167,167.233,149.9,177.6,169.567
32,3,3,256,16,16,1,1,18.4429,18.5741,39.2154,22.9045,38.8077,21.7391,22.5174,17.3414,20.312,19.6423
64,3,3,256,16,16,1,1,37.8857,36.9286,77.0143,45.5636,77.5429,45.5182,43.7917,37.0214,40.5615,39.7923
128,3,3,256,16,16,1,1,82.2429,74.1,174.433,100.96,175.533,87.5167,86.3333,69.4125,81.5,77.4143
256,3,3,256,16,16,1,1,148.675,146.8,317.8,189.233,322.35,170.5,171,151.325,174.833,166.7
512,3,3,256,16,16,1,1,299.75,295,616.9,378.65,634,351.6,341.9,568.5,662.2,645.8
32,3,3,512,16,16,1,1,39.2769,38.0429,157.175,47.7091,162.25,278.15,283.75,36.1786,40.8846,40.9615
