wCount,wRows,wCols,wChls,yRows,yCols,vStride,hStride,ForLoopConv,UnrolledInputConv_rIrFrO,UnrolledInputConv_rIrFcO,UnrolledInputConv_rIfFrO,UnrolledInputConv_rIfFcO,UnrolledInputConv_cIrFrO,UnrolledInputConv_cIrFcO,UnrolledInputConv_cIfFrO,UnrolledInputConv_cIfFcO,UnrolledOutputConv,UnrolledInputImplicitInPaddingConv,UnrolledInputExplicitOutPaddingConv,UnrolledInputExplicitPaddingConv,VirtuallyUnrolledInputImplicitInPaddingConv,VirtuallyUnrolledInputExplicitOutPaddingConv,VirtuallyUnrolledInputExplicitPaddingConv
32,3,3,32,32,32,2,2,79.3,28.125,28.375,28.175,28.325,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,32,32,2,2,156.7,53.75,53.8,53.8,53.75,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,32,32,2,2,311.1,104.4,105.2,104.5,104.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,32,32,32,2,2,620.8,206.9,207.5,206.8,206.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,32,32,32,2,2,1251,410.8,413.8,410.5,411.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,64,32,32,2,2,148.2,54.9,55.3,54.95,55.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,64,32,32,2,2,293.1,105,105.4,105.1,105.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,64,32,32,2,2,584.6,204.4,206.4,204.5,205.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,64,32,32,2,2,1177.1,405.6,408.3,405.3,406,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,64,32,32,2,2,2385.3,806.3,813.5,805.5,806.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,128,32,32,2,2,286.4,108.9,109.3,109,109,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,128,32,32,2,2,569.9,208.2,208.7,208.3,208.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,128,32,32,2,2,1148.8,405.1,409.1,405.3,407,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,128,32,32,2,2,2337.2,804,808.8,803.2,803.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,128,32,32,2,2,4686.9,1598.5,1612.8,1596.8,1597.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,256,32,32,2,2,573.5,218.2,218.3,218.3,217.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,256,32,32,2,2,1133.5,416.4,417,416.7,416.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,256,32,32,2,2,2291.2,810,816.8,810.4,812.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,256,32,32,2,2,4583.9,1607.5,1617.8,1605.8,1607.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,256,32,32,2,2,9171.9,3194.8,3226.5,3191.5,3196.3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,512,32,32,2,2,1151,435.7,436.3,436.1,435.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,512,32,32,2,2,2315.8,832.3,833.9,833.1,832.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,512,32,32,2,2,4604.9,1619.8,1633.9,1620.8,1626.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,512,32,32,2,2,9166,3214.2,3235.8,3211.2,3215.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,512,32,32,2,2,18268.9,6388.5,6445.1,6382.5,6385.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,3,64,64,2,2,45.6,13.5875,13.375,13.625,13.3875,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,3,64,64,2,2,91.05,24.3,24.44,24.3,24.44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,3,64,64,2,2,181.7,46.6333,47.5667,46.6333,47.5333,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,3,64,64,2,2,365.2,93.2,92.95,93.15,92.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,3,64,64,2,2,732,182.7,184,182.5,183.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,32,64,64,2,2,317.5,112.8,113.5,112.8,113.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,64,64,2,2,627,215,215.4,215.2,215.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,64,64,2,2,1244.7,417.1,419.6,417.2,419.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,32,64,64,2,2,2484.4,825.8,827.9,825.7,827.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,32,64,64,2,2,5019.3,1639.4,1645,1639.2,1642.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,64,64,64,2,2,593.9,219.7,220.9,219.7,220.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,64,64,64,2,2,1174.8,420.1,421,420.2,420.8,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,64,64,64,2,2,2340.5,816.5,821.9,816.6,820.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,64,64,64,2,2,4720.9,1618.7,1623.8,1618.4,1621.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,64,64,64,2,2,9537.2,3217.5,3230.7,3216.7,3224,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,3,3,128,64,64,2,2,1147.6,435.5,435.7,435.6,435.6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,128,64,64,2,2,2283.7,831.9,832.4,832.1,832,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,128,64,64,2,2,4618.4,1618.2,1627.1,1618.3,1625.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,128,64,64,2,2,9359.5,3208.3,3217.3,3207.5,3212.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
512,3,3,128,64,64,2,2,18758.4,6378.8,6403.1,6377,6387.9,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
32,3,3,256,64,64,2,2,2298.8,873.1,871.3,873.2,871.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,256,64,64,2,2,4712.5,1665.2,1664.2,1665.4,1663.7,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
128,3,3,256,64,64,2,2,9169.6,3236.5,3253.1,3236.7,3249.1,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
256,3,3,256,64,64,2,2,18331.2,6414.1,6432,6412.9,6422,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
512,3,3,256,64,64,2,2,36676.6,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,512,64,64,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,512,64,64,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,512,64,64,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,512,64,64,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,512,64,64,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,3,128,128,2,2,182.6,54.7,54.1,54.75,54.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,3,128,128,2,2,364.1,97.25,100.4,97.3,100.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,3,128,128,2,2,727.1,186.7,191.2,186.7,191.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
256,3,3,3,128,128,2,2,1461.5,372.7,373.8,372.6,373.8,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
512,3,3,3,128,128,2,2,2928.5,729.8,740.6,729.8,740.4,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
32,3,3,32,128,128,2,2,1271.1,451.2,454.4,451.3,454.4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,32,128,128,2,2,2509.6,860.2,862.5,860.3,862.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
128,3,3,32,128,128,2,2,4979.8,1668.4,1679.2,1668.5,1678.9,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
256,3,3,32,128,128,2,2,9939.6,3301.6,3312.6,3301.4,3311.8,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
512,3,3,32,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,64,128,128,2,2,2377.7,878.8,884.1,878.8,883.9,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
64,3,3,64,128,128,2,2,4700.5,1680.2,1684.9,1680.5,1684.9,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
128,3,3,64,128,128,2,2,9364.4,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,64,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,64,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,128,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,128,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,128,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,128,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,128,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,256,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,256,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,256,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,256,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,256,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,512,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,512,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,512,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,512,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,512,128,128,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,3,256,256,2,2,730.8,218.8,222,219,221.9,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
64,3,3,3,256,256,2,2,1457.1,388.9,405.6,389,405.5,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
128,3,3,3,256,256,2,2,2908.9,746.4,770.3,746.4,770.3,n/a,n/a,n/a,n/a,mem,mem,mem,mem,mem,mem,mem
256,3,3,3,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,3,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,32,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,32,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,32,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,32,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,32,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,64,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,64,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,64,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,64,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,64,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,128,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,128,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,128,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,128,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,128,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,256,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,256,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,256,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,256,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
512,3,3,256,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
32,3,3,512,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
64,3,3,512,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
128,3,3,512,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
256,3,3,512,256,256,2,2,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem,mem
